"year","Region","latitude","longitude","Elevation","VEI"
1968,"Costa Rica_Arenal",10.463,-84.703,1657,3
1969,"Java_Merapi",-7.542,110.442,2947,2
1969,"Lesser Sunda Is_Iya",-8.88,121.63,637,3
1969,"Luzon-N of_Didicas",19.077,122.202,244,2
1969,"Honshu-Japan_Narugo",38.73,140.73,462,NA
1970,"Italy_Campi Flegrei",40.827,14.139,458,NA
1970,"Iceland-S_Hekla",63.98,-19.7,1491,3
1971,"_Hudson",NA,NA,NA,NA
1971,"Santa Cruz Is-SW Pac_Tinakula",-10.38,165.8,851,2
1971,"Guatemala_Fuego",14.473,-90.88,3763,3
1971,"Canary Is_La Palma",28.58,-17.83,2426,2
1971,"Chile-C_Villarrica",-39.42,-71.93,2847,2
1971,"Honshu-Japan_Kusatsu-Shirane",36.62,138.55,2176,NA
1972,"_Fournaise",NA,NA,NA,NA
1972,"Honshu-Japan_Hakone",35.22,139.02,1438,NA
1972,"New Guinea-NE of_Ritter Island",-5.52,148.121,140,1
1973,"Iceland-S_Vestmannaeyjar",63.43,-20.28,279,3
1973,"Lesser Sunda Is_Paluweh",-8.32,121.708,875,3
1973,"_Hudson",NA,NA,NA,NA
1973,"Lesser Sunda Is_Iliwerung",-8.54,123.59,1018,2
1974,"Sangihe Is-Indonesia_Karangetang [Api Siau]",2.78,125.48,1784,3
1974,"Kyushu-Japan_Sakura-jima",31.58,130.67,1117,3
1974,"Honshu-Japan_Niigata-Yake-yama",36.92,138.03,2400,2
1974,"Kyushu-Japan_Sakura-jima",31.58,130.67,1117,3
1974,"Guatemala_Fuego",14.473,-90.88,3763,4
1974,"New Guinea-NE of_Ritter Island",-5.52,148.121,140,1
1974,"Java_Merapi",-7.542,110.442,2947,2
1975,"Sumatra_Marapi",-0.381,100.473,2891,2
1975,"Costa Rica_Arenal",10.463,-84.703,1657,3
1975,"Hawaiian Is_Kilauea",19.425,-155.292,1222,0
1976,"Honshu-Japan_Kusatsu-Shirane",36.62,138.55,2176,NA
1976,"Ecuador_Sangay",-2.03,-78.33,5230,3
1976,"Java_Semeru",-8.108,112.92,3676,2
1976,"Sangihe Is-Indonesia_Karangetang [Api Siau]",2.78,125.48,1784,2
1976,"Java_Merapi",-7.542,110.442,2947,2
1977,"Africa-C_Nyiragongo",NA,NA,NA,NA
1977,"Indian O-W_Karthala",-11.75,43.38,2361,0
1977,"Iceland-NE_Krafla",65.73,-16.78,650,1
1977,"Kamchatka_Kliuchevskoi",56.057,160.638,4835,3
1977,"Hokkaido-Japan_Usu",42.53,140.83,731,3
1978,"Hokkaido-Japan_Usu",42.53,140.83,731,3
1978,"Luzon-Philippines_Bulusan",12.77,124.05,1565,2
1978,"Guatemala_Santa Maria",14.756,-91.552,3772,3
1978,"Java_Semeru",-8.108,112.92,3676,3
1978,"Java_Tangkubanparahu",-6.77,107.6,2084,NA
1979,"Java_Dieng Volc Complex",-7.2,109.92,2565,1
1979,"New Guinea-NE of_Karkar",-4.649,145.964,1839,2
